Rk,Team,GP,W,L,OT,PTS,PTS/GP,ROW,PDO,PDO-A,GF,GA,GD,GF/GP,GA/GP,GD/GP,PPO,PPG,PP%,PKO,PPG-A,PK%,SF,SA,SD,SD/GP,SH%,SH%-A,FOW,FOL,FOD,FOD/GP,FO%,SV%,SV%-A,HITS,HITS-A,HITS-D,HITS-D/GP,BS,BS-A,BS-D,BS-D/GP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Florida Panthers,22,15,4,3,33,1.5,15,102.30%,98.80%,82,60,22,3.73,2.73,1,65,13,20.00%,68,13,80.90%,785,690,95,4.318,10.40%,8.40%,581,699,-118,-5.364,45.39%,91.86%,90.36%,576,631,-55,-2.5,269,332,-63,-2.864
2,Washington Capitals,23,14,4,5,33,1.43,14,102.90%,97.90%,82,57,25,3.57,2.48,1.087,71,13,18.30%,61,10,83.60%,712,651,61,2.653,11.50%,8.80%,609,690,-81,-3.522,46.88%,91.38%,89.11%,529,482,47,2.043,305,275,30,1.304
3,Toronto Maple Leafs,23,16,6,1,33,1.43,16,101.90%,98.90%,66,49,17,2.87,2.13,0.74,62,15,24.20%,60,8,86.70%,778,700,78,3.391,8.50%,7.00%,690,564,126,5.478,55.02%,93.40%,91.87%,447,593,-146,-6.348,262,355,-93,-4.044
4,Carolina Hurricanes,21,15,5,1,31,1.48,15,102.10%,99.10%,67,47,20,3.19,2.24,0.952,70,13,18.60%,81,10,87.70%,692,580,112,5.333,9.70%,8.10%,658,577,81,3.857,53.28%,92.37%,90.98%,428,511,-83,-3.952,242,328,-86,-4.095
5,Calgary Flames,22,13,4,5,31,1.41,12,103.40%,98.10%,72,43,29,3.27,1.95,1.318,61,15,24.60%,69,9,87.00%,758,637,121,5.5,9.40%,6.80%,627,634,-7,-0.318,49.72%,93.99%,91.36%,445,464,-19,-0.864,251,331,-80,-3.636
6,Minnesota Wild,22,15,6,1,31,1.41,13,101.70%,99.30%,83,66,17,3.77,3,0.773,70,10,14.30%,75,14,81.30%,742,669,73,3.318,10.90%,9.70%,610,659,-49,-2.228,48.07%,90.83%,89.57%,486,491,-5,-0.227,295,308,-13,-0.591
7,Edmonton Oilers,20,15,5,0,30,1.5,13,103.20%,97.90%,77,59,18,3.85,2.95,0.9,61,23,37.70%,62,8,87.10%,654,679,-25,-1.25,11.50%,8.70%,618,539,79,3.95,53.41%,91.73%,89.21%,422,461,-39,-1.95,246,291,-45,-2.25
8,New York Rangers,20,13,4,3,29,1.45,12,102.10%,98.60%,60,54,6,3,2.7,0.3,59,12,20.30%,62,12,80.60%,566,645,-79,-3.95,10.40%,8.40%,488,592,-104,-5.2,45.19%,91.63%,90.21%,536,401,135,6.75,309,238,71,3.55
9,Tampa Bay Lightning,21,12,5,4,28,1.33,10,102.20%,99.40%,67,60,7,3.19,2.86,0.333,63,12,19.00%,65,9,86.20%,626,621,5,0.239,10.40%,9.30%,608,625,-17,-0.81,49.31%,91.84%,90.05%,545,526,19,0.904,264,248,16,0.761
