Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Isiah Thomas,28,81,81,37,7.1,16.3,0.438,0.5,1.7,0.309,6.6,14.6,0.453,0.454,3.6,4.7,0.775,0.9,2.9,3.8,9.4,1.7,0.2,4,2.5,18.4
2,Joe Dumars,26,75,71,34.4,6.8,14.1,0.48,0.3,0.7,0.4,6.5,13.4,0.485,0.491,4,4.4,0.9,0.8,2,2.8,4.9,0.8,0,1.9,1.7,17.8
3,Bill Laimbeer,32,81,81,33,4.7,9.7,0.484,0.7,2,0.361,4,7.7,0.515,0.52,2,2.4,0.854,2,7.6,9.6,2.1,0.7,1,1.2,3.4,12.1
4,Dennis Rodman,28,82,43,29,3.5,6,0.581,0,0.1,0.111,3.5,5.9,0.589,0.582,1.7,2.6,0.654,4.1,5.6,9.7,0.9,0.6,0.7,1.1,3.4,8.8
5,James Edwards,34,82,70,27.8,5.6,11.3,0.498,0,0,0,5.6,11.3,0.499,0.498,3.2,4.3,0.749,1.4,2.8,4.2,0.8,0.3,0.5,1.6,3.6,14.5
6,Mark Aguirre,30,78,40,25.7,5.6,11.5,0.488,0.4,1.2,0.333,5.2,10.3,0.506,0.505,2.5,3.3,0.756,1.5,2.4,3.9,1.9,0.4,0.2,1.6,2.6,14.1
7,Vinnie Johnson,33,82,12,24,4.1,9.5,0.431,0.1,0.4,0.147,4,9,0.444,0.434,1.6,2.4,0.668,1.3,1.8,3.1,3.1,0.9,0.2,1.5,1.7,9.8
8,John Salley,25,82,12,23.3,2.5,5,0.512,0,0,0.25,2.5,4.9,0.515,0.513,2.1,3,0.713,1.9,3.5,5.4,0.8,0.6,1.9,1.2,3.4,7.2
9,Gerald Henderson,34,46,0,7.3,0.9,1.8,0.506,0.3,0.7,0.452,0.6,1.1,0.538,0.59,0.2,0.3,0.769,0.2,0.5,0.7,1.3,0.2,0,0.3,0.8,2.3
10,William Bedford,26,42,0,5.9,1.3,3,0.432,0,0.1,0.167,1.3,2.8,0.445,0.436,0.2,0.5,0.409,0.4,1,1.4,0.1,0.1,0.4,0.5,0.9,2.8
11,Dave Greenwood,32,37,0,5.5,0.6,1.4,0.423,0,0,,0.6,1.4,0.423,0.423,0.4,0.8,0.552,0.6,1.5,2.1,0.3,0.1,0.2,0.4,1.1,1.6
12,Stan Kimbrough,23,10,0,5,0.7,1.6,0.438,0,0,,0.7,1.6,0.438,0.438,0.2,0.2,1,0.4,0.3,0.7,0.5,0.4,0,0.4,0.4,1.6
13,Scott Hastings,29,40,0,4.2,0.3,0.8,0.303,0.1,0.3,0.25,0.2,0.5,0.333,0.348,0.5,0.6,0.864,0.2,0.6,0.8,0.2,0.1,0.1,0.2,0.8,1.1
14,Ralph Lewis,26,4,0,1.5,0,0.3,0,0,0,,0,0.3,0,0,0,0,,0,0,0,0,0,0,0.3,0.3,0
